Entity,Time,Value
BTC_ETH,1465699200,0.02314428
BTC_ETH,1465699500,0.02318044
BTC_ETH,1465699800,0.02322016
BTC_ETH,1465700100,0.02320468
BTC_ETH,1465700400,0.0231977
BTC_ETH,1465700700,0.02318682
BTC_ETH,1465701000,0.02325076
BTC_ETH,1465701300,0.02317981
BTC_ETH,1465701600,0.02308999
BTC_ETH,1465701900,0.02313388
BTC_ETH,1465702200,0.023114
BTC_ETH,1465702500,0.02312589
BTC_ETH,1465702800,0.02301056
BTC_ETH,1465703100,0.02294282
BTC_ETH,1465703400,0.02290001
BTC_ETH,1465703700,0.0229
BTC_ETH,1465704000,0.02291905
